Date,AAPL,ABT,AMZN,BAC,C,COP,CVX,EOG,GOOGL,GS,JNJ,JPM,META,MRK,MSFT,PFE,SLB,UNH,WFC,XOM
2018-01-02,40.304176330566406,50.506080627441406,59.45050048828125,24.637495040893555,56.57960510253906,42.35491943359375,89.45237731933594,80.424560546875,53.22063064575195,213.1442413330078,110.76420593261719,85.90128326416016,180.00738525390625,41.5934944152832,78.870361328125,23.830419540405273,54.93655014038086,193.0904541015625,48.6533203125,58.58041000366211
2018-01-03,40.29715347290039,50.61775588989258,60.209999084472656,24.555095672607422,56.75461959838867,43.13587188720703,90.10443878173828,81.62390899658203,54.12862777709961,211.16015625,111.822265625,85.98880767822266,183.23208618164062,41.534305572509766,79.2374038696289,24.006990432739258,56.36686325073242,195.11599731445312,49.02763748168945,59.73093795776367
2018-01-04,40.484336853027344,50.53185272216797,60.47949981689453,24.8764591217041,57.45460510253906,43.6335334777832,89.8239974975586,81.6386489868164,54.33888244628906,214.1112518310547,111.81430053710938,87.22063446044922,182.89474487304688,42.207557678222656,79.9348373413086,24.05930519104004,57.76557922363281,195.96292114257812,49.64089584350586,59.8136100769043
2018-01-05,40.945255279541016,50.67790222167969,61.457000732421875,24.991811752319336,57.378536224365234,43.549320220947266,89.6767349243164,82.5363540649414,55.05943298339844,213.01918029785156,112.73714447021484,86.66071319580078,185.39512634277344,42.16317367553711,80.92585754394531,24.105079650878906,58.16067886352539,199.69969177246094,49.975372314453125,59.76540756225586
2018-01-08,40.793182373046875,50.53185272216797,62.34349822998047,24.818775177001953,56.70894241333008,43.99338912963867,90.11844635009766,82.9336929321289,55.25382995605469,209.92628479003906,112.88034057617188,86.7887191772461,186.81398010253906,41.919029235839844,81.00843811035156,23.836956024169922,59.108943939208984,196.2335662841797,49.40991973876953,60.034080505371094
2018-01-09,40.78850555419922,50.61775588989258,62.6349983215332,24.94237518310547,57.30244445800781,44.353240966796875,89.63468170166016,82.1978759765625,55.183406829833984,211.7019805908203,114.6703109741211,87.22865295410156,186.4071807861328,42.02259826660156,80.953369140625,23.810800552368164,59.18796920776367,197.21139526367188,49.58514404296875,59.77918243408203
2018-01-10,40.779136657714844,50.54045104980469,62.71649932861328,25.173093795776367,57.561153411865234,44.138851165771484,90.2095947265625,82.41862487792969,55.05199432373047,212.02713012695312,114.53508758544922,88.18852233886719,186.37741088867188,42.392513275146484,80.5863265991211,23.850038528442383,59.74112319946289,195.74462890625,50.270057678222656,59.30381774902344
2018-01-11,41.01077651977539,50.88572311401367,63.83399963378906,25.263734817504883,57.49266052246094,45.310279846191406,92.95109558105469,84.7217025756836,55.14671325683594,212.69403076171875,115.18741607666016,88.66045379638672,186.3079376220703,42.61446762084961,80.82493591308594,23.908891677856445,60.886962890625,196.7836151123047,50.18244171142578,59.88943099975586
2018-01-12,41.434261322021484,50.79077911376953,65.26000213623047,25.70045280456543,58.46659851074219,45.97636795043945,93.67327117919922,85.13375091552734,56.069087982177734,214.27804565429688,115.95911407470703,90.124267578125,177.97335815429688,43.39868927001953,82.2197036743164,23.895809173583984,61.613956451416016,199.62112426757812,49.81610107421875,60.29587173461914
2018-01-16,41.223690032958984,50.445499420166016,65.24299621582031,25.741655349731445,58.67204284667969,45.04997253417969,92.55845642089844,83.55536651611328,56.07156753540039,215.47018432617188,116.83424377441406,89.80430603027344,177.00099182128906,45.921531677246094,81.07266235351562,23.935056686401367,60.98179626464844,203.34043884277344,49.77627182006836,59.91695785522461
